"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"877";"http://citymotors.com.ua/img/p/1/7/3/6/1736.jpg";"Techline 718BD W6.5 PCD5x114.3 ET40 DIA67.1";"TL718BDW6.5PCD5x114.3ET40DIA67.1";"Диски";"94.839810";"113.8";"12";"1";
"74";"http://citymotors.com.ua/img/p/1/5/1/151.jpg";"БОЛТ M12X1,25X30 ЦИНК КОНУС КЛЮЧ 19 ММ";"0972120 Z";"Гайки и болты";"0.880000";"0.88";"100";"1";
"252";"http://citymotors.com.ua/img/p/4/9/8/498.jpg";"Болты секретные M12X1,25X28 Тройной никель/хром кл.17-19мм";"262110F2";"Секретки на колеса";"20.000000";"20";"1";"1";
"430";"http://citymotors.com.ua/img/p/8/9/1/891.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 75,0-66,6";"HCR750-666";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"821";"http://citymotors.com.ua/img/p/1/6/8/0/1680.jpg";"Techline 638S W7.5 PCD5x112 ET35 DIA66.6";"TL638SW7.5PCD5x112ET35DIA66.6";"Диски";"78.648570";"94.37";"12";"1";
"13";"http://citymotors.com.ua/img/p/3/5/35.jpg";"БОЛТ M12X1,25X36 ЦИНК КОНУС с ВЫСТУПОМ  КЛЮЧ 17 ММ";"072140 Z";"Гайки и болты";"1.370000";"1.37";"200";"1";
"196";"http://citymotors.com.ua/img/p/3/8/2/382.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,6-66,1";"HCR726-661";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"373";"http://citymotors.com.ua/img/p/7/7/3/773.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 70,4-60,1";"HCR704-601";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"551";"http://citymotors.com.ua/img/p/1/2/9/2/1292.jpg";"Колпачки для колесных гаек и болтов 19";"HEX19(Chrome)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"765";"http://citymotors.com.ua/img/p/1/6/2/4/1624.jpg";"Techline 534BD W5.5 PCD4x100 ET45 DIA60.1";"TL534BDW5.5PCD4x100ET45DIA60.1";"Диски";"58.428435";"70.11";"12";"1";
"140";"http://citymotors.com.ua/img/p/2/6/8/268.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 63,4-54,1";"HCR634-541";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"316";"http://citymotors.com.ua/img/p/6/5/3/653.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 60,1-57,1";"HCR601-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"495";"http://citymotors.com.ua/img/p/1/1/4/5/1145.jpg";"Проставка колесная 3мм 5х114,3 66,1 ";"3SP5114,3 66,1 ";"Проставки";"16.000000";"16";"20";"1";
